title,Marca,Preco_Normal,Preco_Desconto,Preco_Anterior,Desconto,Categoria
"Pack 12 un, Leche extra proteína 1 L",Loncoleche,19788,0,0,0,lacteos
"Pack 12 un, Leche chocolate receta original 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche semidescremada chocolate 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche semidescremada frutilla 1 L",Soprole,18228,0,0,0,lacteos
"Pack 12 un, Leche sin lactosa chocolate 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche sin lactosa frutilla 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche saborizada light chocolate 1 L",Loncoleche,17988,0,0,0,lacteos
"Pack 12 un, Leche saborizada frutilla 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada vainilla 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada manjar 1 L",Colun,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada plátano 1 L",Loncoleche,17388,0,0,0,lacteos
"Pack 12 un, Leche saborizada chocolate 1 L",Loncoleche,17388,0,0,0,lacteos
"Pack 12 un, Leche chocolate 1 L",Colun,17268,0,0,0,lacteos
"Pack 12 un, Leche chocolate sin tapa 1 L",Colun,17268,0,0,0,lacteos
"Pañal Plenitud Protect G 22 un,",Plenitud,16799,0,0,0,belleza-y-cuidado-personal
"Pack 12 un, Leche sin lactosa extra calcio 1 L",Loncoleche,16788,0,0,0,lacteos
Leche en Polvo Nido Etapa 5+ Tarro 1600g,Nido,16190,0,0,0,lacteos
"Pack 12 un, Leche descremada sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche entera sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin lactosa 1 L",Colun,14268,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin lactosa 1 L",Loncoleche,13908,0,0,0,lacteos
"Pack 12 un, Leche natural sin lactosa 1 L",Loncoleche,13908,0,0,0,lacteos
Leche en Polvo Nido Entera 1500g,Nido,12149,0,0,0,lacteos
"Pack 12 un, Leche semidescremada sin tapa 1 L",Colun,11988,0,0,0,lacteos
"Pack 12 un, Leche descremada sin tapa 1 L",Colun,11988,0,0,0,lacteos
"Pañales para adultos Tena Pants G 16 unid,",Tena,11950,0,0,0,belleza-y-cuidado-personal
"Pañales para adultos Tena Pants M 16 unid,",Tena,11950,0,0,0,belleza-y-cuidado-personal
"Pack 12 un, Leche descremada sin lactosa 1 L",Loncoleche,11868,0,0,0,lacteos
"Pack 12 un, Leche sin lactosa semidescremada 1 L",Cuisine & Co,11868,0,0,0,lacteos
"Pack 12 un, Leche entera 100% natural 1 L",Soprole,11268,0,0,0,lacteos
"Pack 12 un, Leche semidescremada 100% natural 1 L",Soprole,11268,0,0,0,lacteos
"Pack 12 un, Leche descremada 100% natural 1 L",Soprole,11268,0,0,0,lacteos
Leche en Polvo Nido Forticrece Sin lactosa 840g,Nido,10599,0,0,0,lacteos
"Pack 12 un, Leche entera 1 L",Cuisine & Co,10188,0,0,0,lacteos
"Pack 12 un, Leche semidescremada 1 L",Cuisine & Co,10188,0,0,0,lacteos
"Pack 12 un, leche descremada 1 L c/u",Cuisine & Co,10188,0,0,0,lacteos
Churrascos de asiento 720 g,Cuisine & Co,9979,0,0,0,congelados
"Hamburguesas vacuno caja 10 un, 1 kg",La Crianza,9659,0,0,0,congelados
"Hamburguesas vacuno light caja 10 un, 1 kg",La Crianza,9659,0,0,0,congelados
Leche en polvo entera 1440 g,Colun,8969,0,0,0,lacteos
Hamburguesa vacuno congelada 1 kg,Cuisine & Co,8490,0,0,0,congelados
Leche en Polvo Svelty Sin lactosa Descremada 800g,Svelty,8429,0,0,0,lacteos
"Pañal adulto Tena Pants nocturno L 8 unid,",Tena,8199,0,0,0,belleza-y-cuidado-personal
"Pañal adulto Tena Pants nocturno M 8 unid,",Tena,8199,0,0,0,belleza-y-cuidado-personal
Leche en Polvo Svelty Colágeno Sin Lactosa 500g,Svelty,7999,0,0,0,lacteos
Shampoo limpieza renovadora 1 L,Head & Shoulders,7990,0,0,0,belleza-y-cuidado-personal
Naranja jugo malla 3 kg,Sofruco,7990,0,0,0,frutas
Enjuague bucal Cool Mint Zero alcohol 1 L,Listerine,7989,0,0,0,belleza-y-cuidado-personal
Leche polvo sin lactosa 800 g,Loncoleche,7899,0,0,0,lacteos
"Pack 6 un, Leche chocolate 1 L",Cuisine & Co,7674,0,0,0,lacteos
Pollo asado kg,Cuisine & Co,7485,0,0,0,comidas-preparadas
Mix empanadas cocktail 720 g,Cuisine & Co,7450,0,0,0,comidas-preparadas
Leche en polvo entera 900 g,Nido,7199,0,0,0,lacteos
Nuggets de Pollo Receta del Abuelo 1 kg,Receta Del Abuelo,7090,0,0,0,congelados
Enjuague bucal Cool Mint Zero alcohol 500 ml + 250 ml,Listerine,6869,0,0,0,belleza-y-cuidado-personal
"Pasta dental Total 12 clean mint 3 un, 75 ml",Colgate,6790,0,0,0,belleza-y-cuidado-personal
Leche polvo extra calcio descremada 800 g,Calo,6769,0,0,0,lacteos
Pizza Pepperoni congelada 700 g,La Crianza,6590,0,0,0,comidas-preparadas
"Pack 6 un, Leche semidescremada sin lactosa 1 L",Surlat,6534,0,0,0,lacteos
"Pack 6 un, Leche descremada sin lactosa 1 L",Surlat,6534,0,0,0,lacteos
Hamburguesa vacuno 900 g,San Jorge,6390,0,0,0,congelados
Leche en Polvo Svelty Descremada 800g,Svelty,6229,0,0,0,lacteos
"Pack 6 un, Leche semidescremada 1 L",Surlat,5934,0,0,0,lacteos
"Pack 6 un, Leche entera",Surlat,5934,0,0,0,lacteos
"Pack 6 un, Leche descremada 1 L",Surlat,5934,0,0,0,lacteos
Papa malla 5 kg,Jumbo,5850,0,0,0,verduras
"Huevos medianos blancos bandeja 30 un,",Cuisine & Co,5719,0,0,0,lacteos
Shampoo Hidra Hialurónico 680 ml,Elvive,5589,0,0,0,belleza-y-cuidado-personal
Leche polvo instantánea 26 mg 900 g,Calo,5419,0,0,0,lacteos
Helado lúcuma manjar 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
"Helado menta con choco chips 1,42 L",Turkey Hill,5399,0,0,0,congelados
Helado de frambuesas a la crema 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado de tronco de castaña 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
"Helado banana split 1,42 L",Turkey Hill,5399,0,0,0,congelados
Helado tres leches 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Postre helado plátano manjar 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado brownie 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado suspiro limeño 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado de pie de limón 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado papayas a la crema 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
"Helado chocolate holandés con marshmallows 1,65 L",Turkey Hill,5399,0,0,0,congelados
Helado chocolate nuss 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Postre helado Cookies & Cream 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Helado mangos a la crema 1 L,San Francisco De Loncomilla,5399,0,0,0,congelados
Puré de Papas Maggi 1kg,Maggi,5399,0,0,0,instantaneos-y-sopas
Pasta dental Luminous White brilliant 125 ml,Colgate,5390,0,0,0,belleza-y-cuidado-personal
"Empanada de pino casera 2 un,",Bredenmaster,5390,0,0,0,comidas-preparadas
Leche en polvo entera 900 g,Colun,5389,0,0,0,lacteos
Leche en polvo descremada 800 g,Colun,5389,0,0,0,lacteos
"Huevos color gallina libre 20 un,",Cuisine & Co,5349,0,0,0,lacteos
Helado menta chips 900 ml,Bravissimo,5329,0,0,0,congelados
Leche polvo descremada 800 g,Calo,5249,0,0,0,lacteos
Nuggets de pollo 1 kg,Super Pollo,5190,0,0,0,congelados
Leche en Polvo Ideal Instantánea 900g,Ideal,5189,0,0,0,lacteos
Shampoo Bambú 400 ml + Bálsamo 400 ml,Pantene,5090,0,0,0,belleza-y-cuidado-personal
Helado 0% azúcar vainilla 1 L,San Francisco De Loncomilla,5049,0,0,0,congelados
Helado 0% azúcar chocolate 1 L,San Francisco De Loncomilla,5049,0,0,0,congelados
Helado 0% azúcar frutos del bosque 1 L,San Francisco De Loncomilla,5049,0,0,0,congelados
Profiteroles 6/p 500 g,Solo Italia,4999,0,0,0,comidas-preparadas
Stracciatella 6/p 500 g,Solo Italia,4999,0,0,0,comidas-preparadas
Agua Micelar 400 ml Skin Active,Garnier,4990,0,0,0,belleza-y-cuidado-personal
"Pack 2 un, Desodorante spray Sensitive protect 150 ml",Nivea,4899,0,0,0,belleza-y-cuidado-personal
Nuggets de pollo Ready 1 kg,Cuisine & Co,4899,0,0,0,congelados
Margarina 1 kg,Sureña,4849,0,0,0,lacteos
Helado La Cremería Brownie 1L,Savory,4819,0,0,0,congelados
Helado La Cremería Papayas a la Crema 1L,Savory,4819,0,0,0,congelados
Helado Sahne Nuss 900ml,Sahne Nuss,4819,0,0,0,congelados
Helado La Cremería Brownie Frambuesa 1L,Savory,4819,0,0,0,congelados
Helado tres leches 1 L,Savory,4819,0,0,0,congelados
Helado La Cremería Maracuyá 1L,Savory,4819,0,0,0,congelados
Helado La Cremería Plátano Manjar 1L,Savory,4819,0,0,0,congelados
Papas Duquesas 1 kg,Minuto Verde,4790,0,0,0,congelados
Pasta fresca girasoli ricotta espinaca Rana 250 g,Rana,4790,0,0,0,comidas-preparadas
Pasta fresca ravioli 4 quesos Rana 250 g,Rana,4790,0,0,0,comidas-preparadas
Talco para pies 220 g + talco 80 g,Brooks,4769,0,0,0,belleza-y-cuidado-personal
Frambuesa congelada 400 g,Cuisine & Co,4759,0,0,0,congelados
Puré de papas instantáneo tradicional 1 kg,Alcafood,4699,0,0,0,instantaneos-y-sopas
Palta hass extra malla 1 kg,Frutas Y Verduras Propias,4690,0,0,0,verduras
"Hel multipack 0% azúcar choco vainilla 5 un, 70 g",San Francisco De Loncomilla,4669,0,0,0,congelados
"Pack paleta helado choco nuss 5 un, 80 g c/u",San Francisco De Loncomilla,4669,0,0,0,congelados
Lasagna mix de quesos 600 g,Sadia,4649,0,0,0,comidas-preparadas
Papas Pre fritas 1 kg,Minuto Verde,4590,0,0,0,congelados
Pizza Italia Roma 500 g,Cuisine & Co,4590,0,0,0,comidas-preparadas
Pizza Italia Sicilia 490 g,Cuisine & Co,4590,0,0,0,comidas-preparadas
Puré de papas instantáneo 800 g,Cuisine & Co,4569,0,0,0,instantaneos-y-sopas
Barra de fruta frambuesa 8 x 55 g c/u,Guallarauco,4549,0,0,0,congelados
Barra de fruta naranja frutilla 8 x 55 g c/u,Guallarauco,4549,0,0,0,congelados
"Pasta dental Max White crystal mint 3 un, 75 ml",Colgate,4499,0,0,0,belleza-y-cuidado-personal
Helado multipack Flipy 600 ml,Bresler,4499,0,0,0,congelados
Filetitos de pollo 400 g,La Crianza,4490,0,0,0,congelados
"Desodorante masculino fresh barra 50 g 2 un,",Old Spice,4459,0,0,0,belleza-y-cuidado-personal
"Huevos extra grandes color bandeja 20 un,",Cuisine & Co,4459,0,0,0,lacteos
Falafel tradicional 400 g,Tivoni,4450,0,0,0,congelados
Colonia Splash 1 L,Bellekiss,4349,0,0,0,belleza-y-cuidado-personal
"Pack hilo dental 2 un, 50 m c/u",Colgate,4290,0,0,0,belleza-y-cuidado-personal
Pizza mediterránea 445 g,Cuisine & Co,4190,0,0,0,comidas-preparadas
Pizza pepperoni 445 g,Cuisine & Co,4190,0,0,0,comidas-preparadas
Pizza tocino 445 g,Cuisine & Co,4190,0,0,0,comidas-preparadas
Ñoquis Capresse 400 g,Cuisine & Co,4190,0,0,0,comidas-preparadas
"Huevos extra grandes blancos bandeja 20 un,",Cuisine & Co,4169,0,0,0,lacteos
Shampoo manzana fresh 375 ml,Head & Shoulders,4159,0,0,0,belleza-y-cuidado-personal
Shampoo Protección Caída con cafeína 375 ml,Head & Shoulders,4159,0,0,0,belleza-y-cuidado-personal
Shampoo Control Grasa 375 ml,Head & Shoulders,4159,0,0,0,belleza-y-cuidado-personal
Papas Duquesas 1 kg,Frutos Del Maipo,4159,0,0,0,congelados
Papas prefritas 1 Kg,Frutos Del Maipo,4159,0,0,0,congelados
"Pack 12 un, Probiótico defensas sabor multifruta 80 ml",Soprole,4049,0,0,0,lacteos
"Pack 12 un, Probiótico defensas sabor frutilla 80 ml",Soprole,4049,0,0,0,lacteos
"Shampoo anticaspa pelo graso 2 un, 350 ml c/u",Linic,3999,0,0,0,belleza-y-cuidado-personal
Shampoo Colorvive Purple 200 ml,Elvive,3999,0,0,0,belleza-y-cuidado-personal
Gel Style Tarro Extra Fuerte 600 g,Fructis,3999,0,0,0,belleza-y-cuidado-personal
"Cepillo dental 7 Beneficios 2 un,",Oral-B,3999,0,0,0,belleza-y-cuidado-personal
Chocolate en polvo 800 g,Base Culinar,3999,0,0,0,lacteos
Pasta de choclo 1 kg,Minuto Verde,3990,0,0,0,congelados
Choclo trozo 680 g,Minuto Verde,3990,0,0,0,congelados
Chicken Fingers Rebozados Sadia 480 g,Sadia,3990,0,0,0,congelados
Palta hass malla 1 kg,Frutas Y Verduras Propias,3990,0,0,0,verduras
Shampoo Color Vive 370 ml,Elvive,3989,0,0,0,belleza-y-cuidado-personal
Acondicionador Dream Long 370 ml,Elvive,3989,0,0,0,belleza-y-cuidado-personal
Shampoo Dream Long 370 ml,Elvive,3989,0,0,0,belleza-y-cuidado-personal
Pizza listo congelada jamón queso 465 g,PF,3980,0,0,0,comidas-preparadas
Pizza Listo congelada pepperoni 430 g,PF,3980,0,0,0,comidas-preparadas
"Bebida láctea Chamyto multipack frutilla 12 un, 80 ml",Nestlé,3929,0,0,0,lacteos
"Bebida láctea multipack frambuesa 12 un, 80 ml",Chamyto,3929,0,0,0,lacteos
Manteca Delicias 1 kg,Soprole,3929,0,0,0,lacteos
"Pasta dental 3DWhite 2 un, 100 g",Oral-B,3899,0,0,0,belleza-y-cuidado-personal
Waffle estilo casero 350 g,Zole,3890,0,0,0,congelados
Helado multipack Suny 350 ml,Bresler,3869,0,0,0,congelados
Barra de fruta lúcuma manjar 6 x 60 g c/u,Guallarauco,3829,0,0,0,congelados
Barra de fruta frambuesa 6 x 60 g c/u,Guallarauco,3829,0,0,0,congelados
Barra de fruta mango 6 x 60 g c/u,Guallarauco,3829,0,0,0,congelados
Barra de fruta tropical 360 g,Guallarauco,3829,0,0,0,congelados
Barra de fruta chirimoya 6 x 60 g c/u,Guallarauco,3829,0,0,0,congelados
"Empanada queso jamón 2 un,",Bredenmaster,3790,0,0,0,comidas-preparadas
"Pasta dental Triple Acción menta original 2 un, 150 ml c/u",Colgate,3789,0,0,0,belleza-y-cuidado-personal
Nargarina con sal 1 kg,Qualy,3779,0,0,0,lacteos
Puré de papas 1 kg,Máxima MP,3779,0,0,0,instantaneos-y-sopas
Saborizante para leche Nesquik Chocolate Sin Azúcar Añadida Tarro 350g,Nesquik,3769,0,0,0,lacteos
Mix smoothie Minuto Verde red antioxidante 500 g,Minuto Verde,3729,0,0,0,congelados
"Empanada queso chanco 2 un,",Bredenmaster,3690,0,0,0,comidas-preparadas
Postre Helado Sahne Nuss 1L,Sahne Nuss,3689,0,0,0,congelados
"Protectores protección con perfume 100 un,",Carefree,3659,0,0,0,belleza-y-cuidado-personal
"Pack 12 un, Probiótico defensas con bombilla sabor frutilla 80 ml",Soprole,3649,0,0,0,lacteos
Jabón íntimo Sensitiv 200 ml,Nosotras,3639,0,0,0,belleza-y-cuidado-personal
Saborizante para leche Nestlé Cacao Dark 230g,Nestlé,3599,0,0,0,lacteos
"Empanada napolitana 2 un,",Bredenmaster,3590,0,0,0,comidas-preparadas
"Empanada pollo 2 un,",Bredenmaster,3590,0,0,0,comidas-preparadas
Mix berries congelado 400 g,Cuisine & Co,3559,0,0,0,congelados
Mantequilla untable con sal 350 g,Calo,3549,0,0,0,lacteos
"Protectores diarios todos los días 100 un,",Carefree,3499,0,0,0,belleza-y-cuidado-personal
"Máquinas de afeitar Venus Simply3 2 un,",Gillette,3499,0,0,0,belleza-y-cuidado-personal
Arrollado primavera de cerdo 400 g,Alimentos Shen,3499,0,0,0,congelados
"Pasta dental Triple Acción menta original 3 un, 75 ml c/u",Colgate,3490,0,0,0,belleza-y-cuidado-personal
"Pasta dental Triple Acción xtra frescura 2 un, 90 g c/u",Colgate,3490,0,0,0,belleza-y-cuidado-personal
"Pasta dental Kids Fresantástico 3 un, 50 g c/u",Colgate,3490,0,0,0,belleza-y-cuidado-personal
Pasta fresca gnocchi de papa Rana 500 g,Rana,3490,0,0,0,comidas-preparadas
"Protectores diarios Ladysoft tela suave 100 un,",Ladysoft,3429,0,0,0,belleza-y-cuidado-personal
Bombón Helado Sahne Nuss Chocolate 225ml,Sahne Nuss,3429,0,0,0,congelados
Arrollado napolitano jamón queso 400 g,Alimentos Shen,3399,0,0,0,congelados
Mango congelado 500 g,Cuisine & Co,3359,0,0,0,congelados
"Cepillo dental Oral-B Indicator Extra Soft 2 un,",Oral-B,3290,0,0,0,belleza-y-cuidado-personal
Papas duquesas 1 kg,Cuisine & Co,3290,0,0,0,congelados
Frutos del Bosque 400 g,Minuto Verde,3290,0,0,0,congelados
Ravioles ricotta espinaca 250 g,Cuisine & Co,3290,0,0,0,comidas-preparadas
Ravioles carne 250 g,Cuisine & Co,3290,0,0,0,comidas-preparadas
Sorrentinos capresse 250 g,Cuisine & Co,3290,0,0,0,comidas-preparadas
Panzotti ricotta mozzarella jamón 250 g,Cuisine & Co,3290,0,0,0,comidas-preparadas
Nuggets Plan Based 300 g,La Crianza,3259,0,0,0,congelados
Bombón Helado Savory Pura Fruta Frambuesa Chocolate amargo 225ml,Savory,3250,0,0,0,congelados
Desodorante original femenino barra 50 g,Dove,3249,0,0,0,belleza-y-cuidado-personal
Desodorante Dermo Aclarant barra 50 g,Dove,3249,0,0,0,belleza-y-cuidado-personal
Postre helado Charlot frambuesa 1 L,Savory,3239,0,0,0,congelados
Postre helado Charlot vainilla 1 L,Savory,3239,0,0,0,congelados
Postre helado Charlot tres leches 1 L,Savory,3239,0,0,0,congelados
"Protector diario Kotex 100 un,",Kotex,3199,0,0,0,belleza-y-cuidado-personal
Desodorante barra Invisible Dry 50 g,Dove Men,3199,0,0,0,belleza-y-cuidado-personal
Nugget de verdura 400 g,La Crianza,3199,0,0,0,congelados
Empanada raviolera queso 552 g,Cuisine & Co,3190,0,0,0,congelados
"Empanada pino 2 un,",Bredenmaster,3190,0,0,0,comidas-preparadas
Ñoquis de papa 500 g,Cuisine & Co,3190,0,0,0,comidas-preparadas
Ñoquis Tricolor 500 g,Cuisine & Co,3190,0,0,0,comidas-preparadas
Crema dental active white 160 g,Aquafresh,3179,0,0,0,belleza-y-cuidado-personal
"Pack 6 un, Leche moments cappuccino 200 ml",Danone,3174,0,0,0,lacteos
"Pack 6 un, Leche moments moca 200 ml",Danone,3174,0,0,0,lacteos
Bebida láctea Máxima 800 g,Máxima MP,3160,0,0,0,lacteos
Piña congelada 500 g,Cuisine & Co,3159,0,0,0,congelados
"Sabanillas con tecnología gel 6 un, 90 x 60 cm c/u",Cotosan,3149,0,0,0,belleza-y-cuidado-personal
"Huevo grande de gallina libre 12 un,",Cintazul,3149,0,0,0,lacteos
"Huevos color gallina libre 12 un,",Cuisine & Co,3129,0,0,0,lacteos
Bombón helado chomp frambuesa a la crema 225 ml,Savory,3119,0,0,0,congelados
Mantequilla vegetal aceite coco 125 g,Signore Mario,3099,0,0,0,lacteos
Nuggets de pollo 400 g,La Crianza,3090,0,0,0,congelados
"Pack 6 un, Leche proteína chocolate 200 ml",Soprole,3090,0,0,0,lacteos
Margarina sin lactosa 500 g,Loncoleche,3079,0,0,0,lacteos
Margarina Mix 500 g,Sureña,3069,0,0,0,lacteos
Petit suisse Chiquitín Frutilla multipack 12x45g,Chiquitín,3069,0,0,0,lacteos
Mantequilla de campo 230 g,San Ignacio,3069,0,0,0,lacteos
Arándanos congelado 400 g,Cuisine & Co,3059,0,0,0,congelados
Desodorante barra Double Defense Floral Fresh 45 g,Lady Speed Stick,2999,0,0,0,belleza-y-cuidado-personal
Desodorante barra Invisible Floral 45 g,Lady Speed Stick,2999,0,0,0,belleza-y-cuidado-personal
Desodorante barra hipoalergénico 50 g,Speed Stick,2999,0,0,0,belleza-y-cuidado-personal
Desodorante roll on invisible Black & White clear 50 ml,Nivea,2999,0,0,0,belleza-y-cuidado-personal
Desodorante roll on invisible b&w 50 ml,Nivea,2999,0,0,0,belleza-y-cuidado-personal
Helado vainilla 1 L,Bresler,2999,0,0,0,congelados
Helado chocolate 1 L,Bresler,2999,0,0,0,congelados
Helado chocolate frutilla y vainilla 1 L,Bresler,2999,0,0,0,congelados
Helado piña 1 L,Bresler,2999,0,0,0,congelados
Mantequilla de campo 250 g,Kumey,2999,0,0,0,lacteos
"Pack 6 un, Bebida láctea manjar 170 ml",Shake A Shake Lonco Leche,2994,0,0,0,lacteos
"Pack 6 un, Bebida láctea chocolate 170 ml",Shake A Shake Lonco Leche,2994,0,0,0,lacteos
Naranja malla 2 kg,Frutas Y Verduras Propias,2990,0,0,0,frutas
Tomate cherry clamshell 500 g,Frutas Y Verduras Propias,2990,0,0,0,verduras
"Protectores diarios cortos normal 100 un,",Nosotras,2989,0,0,0,belleza-y-cuidado-personal
"Pack 6 un, Leche light chocolate 200 ml",Colun,2970,0,0,0,lacteos
Porotos granados 500 g,Frutos Del Maipo,2959,0,0,0,congelados
Pulpa de Frambuesas doypack 335 g,Minuto Verde,2959,0,0,0,congelados
Helado de agua de frambuesa 1 L,San Francisco De Loncomilla,2949,0,0,0,congelados
Helado de agua de arándano 1 L,San Francisco De Loncomilla,2949,0,0,0,congelados
Helado de agua de limón 1 L,San Francisco De Loncomilla,2949,0,0,0,congelados
Helado de agua de piña 1 L,San Francisco De Loncomilla,2949,0,0,0,congelados
Helado sabor agua mango 1 L,San Francisco De Loncomilla,2949,0,0,0,congelados
"Pack 5 un, Yoghurt con cereales 140 g",Soprole,2939,0,0,0,lacteos
"Pack 6 un, Bebida láctea mora 200 ml",Yogu - Yogu,2934,0,0,0,lacteos
"Pack 6 un, Bebida láctea frutilla 200 ml",Yogu - Yogu,2934,0,0,0,lacteos
"Pack 6 un, Bebida láctea chirimoya 200 ml",Yogu - Yogu,2934,0,0,0,lacteos
"Pack 6 un, Bebida láctea damasco 200 ml",Yogu - Yogu,2934,0,0,0,lacteos
Margarina1 kg,Pamperita,2929,0,0,0,lacteos
Margarina Mix con mantequilla 500 g,Soprole,2929,0,0,0,lacteos
"Huevos de codorniz 24 un,",Cuisine & Co,2919,0,0,0,lacteos
"Pack 6 un, Leche sin lactosa descremada 200 ml",Colun,2910,0,0,0,lacteos
Huevos grandes color Omega 3 12 unid,Omega 3,2899,0,0,0,lacteos
